manufacturer,nationality,kit_count,first_year,last_year,unique_years,span,regularity,has_enough_data,XYZ_Category
Armourfast,German,5,2004,2012,3,9,0.3333333333333333,True,Y
HaT,Carthaginian,5,1999,2013,3,15,0.2,True,Y
Hasegawa,USA,5,1984,1998,4,15,0.26666666666666666,True,Y
Mars,Spanish,5,2006,2015,4,10,0.4,True,Y
Mars,Ukrainian,5,2015,2024,4,10,0.4,True,Y
Matchbox,British,5,1976,1992,5,17,0.29411764705882354,True,Y
Orion,British,5,2001,2023,5,23,0.21739130434782608,True,Y
Orion,Italian,5,2002,2023,5,22,0.22727272727272727,True,Y
Orion,Turkish,5,2004,2019,4,16,0.25,True,Y
Orion,USA,5,2016,2025,4,10,0.4,True,Y
Plastic Soldier,British,5,2011,2022,4,12,0.3333333333333333,True,Y
RedBox,Scottish,5,2012,2021,4,10,0.4,True,Y
Dark Dream Studio,German,4,2003,2009,3,7,0.42857142857142855,True,Y
Esci,Italian,4,1983,1989,3,7,0.42857142857142855,True,Y
HaT,Bavarian,4,2000,2009,3,10,0.3,True,Y
HaT,Macedonian,4,2001,2009,3,9,0.3333333333333333,True,Y
HaT,Sassanian,4,2013,2017,2,5,0.4,True,Y
HaT,Sudanese,4,2004,2011,3,8,0.375,True,Y
HaT,Turkish,4,2001,2013,4,13,0.3076923076923077,True,Y
Hasegawa,German,4,1991,1998,2,8,0.25,True,Y
Heller,German,4,1962,1977,4,16,0.25,True,Y
IMEX,British,4,2000,2006,3,7,0.42857142857142855,True,Y
IMEX,Mexican,4,2002,2006,2,5,0.4,True,Y
Mars,Tatar,4,2013,2023,4,11,0.36363636363636365,True,Y
Matchbox,German,4,1976,1992,4,17,0.23529411764705882,True,Y
Plastic Soldier,USA,4,2013,2022,4,10,0.4,True,Y
RedBox,Cossack,4,2018,2023,2,6,0.3333333333333333,True,Y
Revell,Russian,4,1988,1995,3,8,0.375,True,Y
Strelets,Anglo-Saxon,4,2004,2016,4,13,0.3076923076923077,True,Y
Strelets,Finnish,4,2011,2020,3,10,0.3,True,Y
Ultima Ratio,French,4,2018,2026,3,9,0.3333333333333333,True,Y
Airfix,Italian,3,1967,1981,3,15,0.2,True,Y
Caesar,Frankish,3,2005,2013,2,9,0.2222222222222222,True,Y
Caesar,Greek,3,2006,2012,3,7,0.42857142857142855,True,Y
Caesar,Iraqi,3,2005,2018,3,14,0.21428571428571427,True,Y
Caesar,Israeli,3,2006,2018,3,13,0.23076923076923078,True,Y
Emhar,French,3,2007,2014,2,8,0.25,True,Y
Emhar,German,3,2000,2008,2,9,0.2222222222222222,True,Y
HaT,Almoravid,3,2008,2012,2,5,0.4,True,Y
HaT,Dutch,3,2000,2004,2,5,0.4,True,Y
HaT,Romanian,3,2004,2016,3,13,0.23076923076923078,True,Y
HaT,Swedish,3,2004,2010,3,7,0.42857142857142855,True,Y
HaT,Zulu,3,2011,2018,3,8,0.375,True,Y
Italeri,Austrian,3,1996,2007,3,12,0.25,True,Y
Linear-A,Albanian,3,2021,2025,2,5,0.4,True,Y
Linear-A,Epirote,3,2021,2025,2,5,0.4,True,Y
Odemars,German,3,2003,2009,3,7,0.42857142857142855,True,Y
Orion,Greek,3,2008,2012,2,5,0.4,True,Y
RedBox,Dutch,3,2009,2016,3,8,0.375,True,Y
Strelets,Danish,3,2002,2016,3,15,0.2,True,Y
Strelets,Frankish,3,2002,2013,3,12,0.25,True,Y
Strelets,Hungarian,3,2011,2017,3,7,0.42857142857142855,True,Y
Strelets,Indian,3,2006,2017,3,12,0.25,True,Y
Strelets,Norwegian,3,2002,2016,3,15,0.2,True,Y
Strelets,Viking,3,2002,2016,3,15,0.2,True,Y
Preiser,German,20,1974,2016,8,43,0.18604651162790697,True,Z
HaT,Celtic,7,1969,2008,5,40,0.125,True,Z
Strelets,Australian,6,2006,2021,3,16,0.1875,True,Z
HaT,Australian,4,1976,2009,3,34,0.08823529411764706,True,Z
Heller,USA,4,1963,1983,3,21,0.14285714285714285,True,Z
Strelets,Dutch,4,2007,2025,3,19,0.15789473684210525,True,Z
HaT,Brunswick,3,1997,2012,3,16,0.1875,True,Z
HaT,Hungarian,3,2011,2024,2,14,0.14285714285714285,True,Z
Mars,Italian,3,2009,2026,3,18,0.16666666666666666,True,Z
Mars,Japanese,3,2004,2018,2,15,0.13333333333333333,True,Z
Mars,Persian,3,2008,2022,2,15,0.13333333333333333,True,Z
Orion,Spanish,3,2006,2025,3,20,0.15,True,Z
Revell,Italian,3,1989,2012,2,24,0.08333333333333333,True,Z
Strelets,Syrian,3,2007,2020,2,14,0.14285714285714285,True,Z
A Call To Arms,USA,2,2000,2002,2,3,0.6666666666666666,False,Недостаточно данных
Accurate,British,2,1972,1972,1,1,1.0,False,Недостаточно данных
Accurate,French,2,1969,1971,2,3,0.6666666666666666,False,Недостаточно данных
Accurate,USA,2,1991,1991,1,1,1.0,False,Недостаточно данных
Airfix,Confederate,2,1962,1962,1,1,1.0,False,Недостаточно данных
Airfix,Russian,2,1964,1982,2,19,0.10526315789473684,False,Недостаточно данных
Almark,British,2,1972,1972,1,1,1.0,False,Недостаточно данных
Atlantic,Russian,2,1972,1976,2,5,0.4,False,Недостаточно данных
Caesar,Anatolian,2,2006,2006,1,1,1.0,False,Недостаточно данных
Caesar,Assyrian,2,2006,2006,1,1,1.0,False,Недостаточно данных
Caesar,Belgian,2,2005,2008,2,4,0.5,False,Недостаточно данных
Caesar,Czech,2,2005,2008,2,4,0.5,False,Недостаточно данных
Caesar,Dutch,2,2005,2008,2,4,0.5,False,Недостаточно данных
Caesar,Hittite,2,2006,2006,1,1,1.0,False,Недостаточно данных
Caesar,Mexican,2,2006,2012,2,7,0.2857142857142857,False,Недостаточно данных
Caesar,Polish,2,2005,2008,2,4,0.5,False,Недостаточно данных
Caesar,Sea People,2,2006,2006,1,1,1.0,False,Недостаточно данных
Caesar,Spanish,2,2007,2013,2,7,0.2857142857142857,False,Недостаточно данных
Caesar,Yugoslavian,2,2005,2008,2,4,0.5,False,Недостаточно данных
Dark Dream Studio,British,2,2003,2009,2,7,0.2857142857142857,False,Недостаточно данных
Dark Dream Studio,French,2,2003,2009,2,7,0.2857142857142857,False,Недостаточно данных
Emhar,Danish,2,2004,2008,2,5,0.4,False,Недостаточно данных
Emhar,Norwegian,2,2004,2008,2,5,0.4,False,Недостаточно данных
Emhar,Swedish,2,2004,2008,2,5,0.4,False,Недостаточно данных
Emhar,Viking,2,2004,2008,2,5,0.4,False,Недостаточно данных
Esci,Indian,2,1986,1987,2,2,1.0,False,Недостаточно данных
Esci,Polish,2,1985,1989,2,5,0.4,False,Недостаточно данных
Evolution,Sarmatian,2,2006,2006,1,1,1.0,False,Недостаточно данных
Fujimi,USA,2,1988,1989,2,2,1.0,False,Недостаточно данных
HaT,Canadian,2,2007,2011,2,5,0.4,False,Недостаточно данных
HaT,Egyptian,2,2004,2008,2,5,0.4,False,Недостаточно данных
HaT,Libyan,2,1999,2001,2,3,0.6666666666666666,False,Недостаточно данных
HaT,Moroccan,2,2008,2012,2,5,0.4,False,Недостаточно данных
HaT,Nassau,2,2004,2007,2,4,0.5,False,Недостаточно данных
HaT,New Zealand,2,2003,2009,2,7,0.2857142857142857,False,Недостаточно данных
HaT,Parthian,2,2007,2007,1,1,1.0,False,Недостаточно данных
HaT,Polish,2,2005,2016,2,12,0.16666666666666666,False,Недостаточно данных
HaT,Saxon,2,2002,2009,2,8,0.25,False,Недостаточно данных
HaT,Sumerian,2,2006,2006,1,1,1.0,False,Недостаточно данных
HaT,Tanzanian,2,2014,2014,1,1,1.0,False,Недостаточно данных
Hasegawa,Japanese,2,1998,2018,2,21,0.09523809523809523,False,Недостаточно данных
Hegemony,British,2,2018,2019,2,2,1.0,False,Недостаточно данных
Italeri,Arab,2,1998,2008,2,11,0.18181818181818182,False,Недостаточно данных
Italeri,Egyptian,2,1998,2008,2,11,0.18181818181818182,False,Недостаточно данных
Italeri,Iraqi,2,1998,2008,2,11,0.18181818181818182,False,Недостаточно данных
Italeri,Japanese,2,1982,2009,2,28,0.07142857142857142,False,Недостаточно данных
Italeri,Mongolian,2,1999,2008,2,10,0.2,False,Недостаточно данных
Italeri,Syrian,2,1998,2008,2,11,0.18181818181818182,False,Недостаточно данных
LW,German,2,2003,2004,2,2,1.0,False,Недостаточно данных
LW,Spanish,2,2002,2008,2,7,0.2857142857142857,False,Недостаточно данных
Linear-A,Celtic,2,2020,2021,2,2,1.0,False,Недостаточно данных
Linear-A,Iraqi,2,2021,2024,2,4,0.5,False,Недостаточно данных
