manufacturer,nationality,kit_count,first_year,last_year,unique_years,span,regularity,has_enough_data,XYZ_Category
Italeri,Chinese,1,2009,2009,1,1,1.0,False,Недостаточно данных
Italeri,Frankish,1,1998,1998,1,1,1.0,False,Недостаточно данных
Italeri,Gaul,1,2000,2000,1,1,1.0,False,Недостаточно данных
Italeri,Goth,1,2010,2010,1,1,1.0,False,Недостаточно данных
Italeri,Indian,1,1986,1986,1,1,1.0,False,Недостаточно данных
Italeri,South African,1,1984,1984,1,1,1.0,False,Недостаточно данных
Italeri,Turkish,1,2008,2008,1,1,1.0,False,Недостаточно данных
Italeri,Vietnamese,1,1986,1986,1,1,1.0,False,Недостаточно данных
Italeri,Zulu,1,1984,1984,1,1,1.0,False,Недостаточно данных
LW,Afghan,1,2002,2002,1,1,1.0,False,Недостаточно данных
LW,Cossack,1,2004,2004,1,1,1.0,False,Недостаточно данных
LW,Dacian,1,2007,2007,1,1,1.0,False,Недостаточно данных
LW,French,1,2010,2010,1,1,1.0,False,Недостаточно данных
LW,Israeli,1,2008,2008,1,1,1.0,False,Недостаточно данных
LW,Japanese,1,2004,2004,1,1,1.0,False,Недостаточно данных
LW,Persian,1,2006,2006,1,1,1.0,False,Недостаточно данных
LW,Polish,1,2002,2002,1,1,1.0,False,Недостаточно данных
LW,Portuguese,1,2005,2005,1,1,1.0,False,Недостаточно данных
LW,Romanian,1,2007,2007,1,1,1.0,False,Недостаточно данных
LW,Sarmatian,1,2006,2006,1,1,1.0,False,Недостаточно данных
LW,Scythian,1,2002,2002,1,1,1.0,False,Недостаточно данных
LW,Swiss,1,2005,2005,1,1,1.0,False,Недостаточно данных
LW,Tajik,1,2002,2002,1,1,1.0,False,Недостаточно данных
LW,Uzbek,1,2002,2002,1,1,1.0,False,Недостаточно данных
Legio,French,1,2009,2009,1,1,1.0,False,Недостаточно данных
Linear-A,Algerian,1,2020,2020,1,1,1.0,False,Недостаточно данных
Linear-A,Dacian,1,2025,2025,1,1,1.0,False,Недостаточно данных
Linear-A,Emirati,1,2026,2026,1,1,1.0,False,Недостаточно данных
Linear-A,Etruscan,1,2018,2018,1,1,1.0,False,Недостаточно данных
Linear-A,Goth,1,2026,2026,1,1,1.0,False,Недостаточно данных
Linear-A,Harappan,1,2024,2024,1,1,1.0,False,Недостаточно данных
Linear-A,Hittite,1,2026,2026,1,1,1.0,False,Недостаточно данных
Linear-A,Indian,1,2024,2024,1,1,1.0,False,Недостаточно данных
Linear-A,Macedonian,1,2026,2026,1,1,1.0,False,Недостаточно данных
Linear-A,Minoan,1,2021,2021,1,1,1.0,False,Недостаточно данных
Linear-A,Omani,1,2026,2026,1,1,1.0,False,Недостаточно данных
Linear-A,Pakistani,1,2024,2024,1,1,1.0,False,Недостаточно данных
Linear-A,Palestinian,1,2016,2016,1,1,1.0,False,Недостаточно данных
Linear-A,Thracian,1,2026,2026,1,1,1.0,False,Недостаточно данных
Linear-A,Trojan,1,2026,2026,1,1,1.0,False,Недостаточно данных
Linear-B,British,1,2013,2013,1,1,1.0,False,Недостаточно данных
Linear-B,Celtic,1,2013,2013,1,1,1.0,False,Недостаточно данных
Linear-B,Pontic,1,2015,2015,1,1,1.0,False,Недостаточно данных
Linear-B,Turkish,1,2015,2015,1,1,1.0,False,Недостаточно данных
Lucky Toys,Austrian,1,2004,2004,1,1,1.0,False,Недостаточно данных
Lucky Toys,Hun,1,2003,2003,1,1,1.0,False,Недостаточно данных
Lucky Toys,Indian,1,2006,2006,1,1,1.0,False,Недостаточно данных
Lucky Toys,Romanian,1,2009,2009,1,1,1.0,False,Недостаточно данных
Lucky Toys,Turkish,1,2009,2009,1,1,1.0,False,Недостаточно данных
Lucky Toys,Wallacian,1,2009,2009,1,1,1.0,False,Недостаточно данных
MM,Italian,1,2012,2012,1,1,1.0,False,Недостаточно данных
MM,Swiss,1,2012,2012,1,1,1.0,False,Недостаточно данных
Mars,Australian,1,2022,2022,1,1,1.0,False,Недостаточно данных
Mars,Burgundian,1,2017,2017,1,1,1.0,False,Недостаточно данных
Mars,Canadian,1,2022,2022,1,1,1.0,False,Недостаточно данных
Mars,Crimean,1,2015,2015,1,1,1.0,False,Недостаточно данных
Mars,Finnish,1,2019,2019,1,1,1.0,False,Недостаточно данных
Mars,Hungarian,1,2013,2013,1,1,1.0,False,Недостаточно данных
Mars,Romanian,1,2014,2014,1,1,1.0,False,Недостаточно данных
Mars,Saxon,1,2009,2009,1,1,1.0,False,Недостаточно данных
Mars,Scottish,1,2009,2009,1,1,1.0,False,Недостаточно данных
Mars,Scythian,1,2022,2022,1,1,1.0,False,Недостаточно данных
Mars,Sea People,1,2014,2014,1,1,1.0,False,Недостаточно данных
Mars,Swiss,1,2005,2005,1,1,1.0,False,Недостаточно данных
Mars,Tunisian,1,2014,2014,1,1,1.0,False,Недостаточно данных
Mars,Wallacian,1,2014,2014,1,1,1.0,False,Недостаточно данных
Matchbox,Australian,1,1980,1980,1,1,1.0,False,Недостаточно данных
Matchbox,New Zealand,1,1980,1980,1,1,1.0,False,Недостаточно данных
MiniArt,Czech,1,2007,2007,1,1,1.0,False,Недостаточно данных
MiniArt,Hussite,1,2007,2007,1,1,1.0,False,Недостаточно данных
MiniArt,Swiss,1,2006,2006,1,1,1.0,False,Недостаточно данных
Model Kasten,Japanese,1,2016,2016,1,1,1.0,False,Недостаточно данных
Nexus,Greek,1,1977,1977,1,1,1.0,False,Недостаточно данных
Odemars,Bosnian,1,2006,2006,1,1,1.0,False,Недостаточно данных
Odemars,Portuguese,1,2005,2005,1,1,1.0,False,Недостаточно данных
Odemars,Spanish,1,2005,2005,1,1,1.0,False,Недостаточно данных
Orion,Bohemian,1,2011,2011,1,1,1.0,False,Недостаточно данных
Orion,Bosnian,1,2009,2009,1,1,1.0,False,Недостаточно данных
Orion,CeltIberian,1,2010,2010,1,1,1.0,False,Недостаточно данных
Orion,Chinese,1,2004,2004,1,1,1.0,False,Недостаточно данных
Orion,Cuman,1,2010,2010,1,1,1.0,False,Недостаточно данных
Orion,Czech,1,2011,2011,1,1,1.0,False,Недостаточно данных
Orion,Danish,1,2002,2002,1,1,1.0,False,Недостаточно данных
Orion,Finnish,1,2025,2025,1,1,1.0,False,Недостаточно данных
Orion,Georgian,1,2009,2009,1,1,1.0,False,Недостаточно данных
Orion,Hungarian,1,2024,2024,1,1,1.0,False,Недостаточно данных
Orion,Japanese,1,2024,2024,1,1,1.0,False,Недостаточно данных
Orion,Kazakhstani,1,2008,2008,1,1,1.0,False,Недостаточно данных
Orion,Khazar,1,2009,2009,1,1,1.0,False,Недостаточно данных
Orion,Kyrgyzstani,1,2008,2008,1,1,1.0,False,Недостаточно данных
Orion,Norwegian,1,2002,2002,1,1,1.0,False,Недостаточно данных
Orion,Parthian,1,2006,2006,1,1,1.0,False,Недостаточно данных
Orion,Pecheneg,1,2010,2010,1,1,1.0,False,Недостаточно данных
Orion,Persian,1,2006,2006,1,1,1.0,False,Недостаточно данных
Orion,Portuguese,1,2010,2010,1,1,1.0,False,Недостаточно данных
Orion,Scottish,1,2006,2006,1,1,1.0,False,Недостаточно данных
Orion,Serbian,1,2009,2009,1,1,1.0,False,Недостаточно данных
Orion,Slav,1,2009,2009,1,1,1.0,False,Недостаточно данных
Orion,Swedish,1,2002,2002,1,1,1.0,False,Недостаточно данных
Orion,Syrian,1,2007,2007,1,1,1.0,False,Недостаточно данных
Orion,Tajikistani,1,2008,2008,1,1,1.0,False,Недостаточно данных
Orion,Thracian,1,2008,2008,1,1,1.0,False,Недостаточно данных
Orion,Turkmenistani,1,2008,2008,1,1,1.0,False,Недостаточно данных
Orion,Uzbek,1,2008,2008,1,1,1.0,False,Недостаточно данных
Orion,Viking,1,2002,2002,1,1,1.0,False,Недостаточно данных
Panzer vs Tanks,USA,1,2016,2016,1,1,1.0,False,Недостаточно данных
Pegasus,Italian,1,2008,2008,1,1,1.0,False,Недостаточно данных
Pegasus,Mexican,1,2005,2005,1,1,1.0,False,Недостаточно данных
Preiser,Spanish,1,1992,1992,1,1,1.0,False,Недостаточно данных
RedBox,Afghan,1,2006,2006,1,1,1.0,False,Недостаточно данных
RedBox,Austrian,1,2010,2010,1,1,1.0,False,Недостаточно данных
RedBox,Indian,1,2008,2008,1,1,1.0,False,Недостаточно данных
RedBox,Nepalese,1,2010,2010,1,1,1.0,False,Недостаточно данных
RedBox,Pictish,1,2006,2006,1,1,1.0,False,Недостаточно данных
Revell,Anglo-Saxon,1,1989,1989,1,1,1.0,False,Недостаточно данных
Revell,Australian,1,1989,1989,1,1,1.0,False,Недостаточно данных
Revell,Aztec,1,1991,1991,1,1,1.0,False,Недостаточно данных
Revell,Belgian,1,2012,2012,1,1,1.0,False,Недостаточно данных
Revell,Celtic,1,1989,1989,1,1,1.0,False,Недостаточно данных
Revell,Confederate,1,1991,1991,1,1,1.0,False,Недостаточно данных
Revell,Japanese,1,1993,1993,1,1,1.0,False,Недостаточно данных
Revell,Mexican,1,1991,1991,1,1,1.0,False,Недостаточно данных
Revell,Norman,1,1989,1989,1,1,1.0,False,Недостаточно данных
Revell,Spanish,1,1991,1991,1,1,1.0,False,Недостаточно данных
Revell,Vietnamese,1,1986,1986,1,1,1.0,False,Недостаточно данных
Strelets,Breton,1,2007,2007,1,1,1.0,False,Недостаточно данных
Strelets,Brunswick,1,2019,2019,1,1,1.0,False,Недостаточно данных
Strelets,Celtic,1,2018,2018,1,1,1.0,False,Недостаточно данных
Strelets,Cossack,1,2006,2006,1,1,1.0,False,Недостаточно данных
Strelets,Estonian,1,2013,2013,1,1,1.0,False,Недостаточно данных
Strelets,Gaul,1,2018,2018,1,1,1.0,False,Недостаточно данных
Strelets,Iraqi,1,2020,2020,1,1,1.0,False,Недостаточно данных
Strelets,Latvian,1,2013,2013,1,1,1.0,False,Недостаточно данных
Strelets,Lithuanian,1,2013,2013,1,1,1.0,False,Недостаточно данных
Strelets,Mongolian,1,2009,2009,1,1,1.0,False,Недостаточно данных
Strelets,Pakistani,1,2016,2016,1,1,1.0,False,Недостаточно данных
Strelets,Sarmatian,1,2012,2012,1,1,1.0,False,Недостаточно данных
Strelets,Serbian,1,2017,2017,1,1,1.0,False,Недостаточно данных
Strelets,Texian,1,2025,2025,1,1,1.0,False,Недостаточно данных
T-Model,Afghan,1,2021,2021,1,1,1.0,False,Недостаточно данных
T-Model,Iraqi,1,2021,2021,1,1,1.0,False,Недостаточно данных
T-Model,Pakistani,1,2021,2021,1,1,1.0,False,Недостаточно данных
T-Model,Syrian,1,2021,2021,1,1,1.0,False,Недостаточно данных
Toxso,German,1,2015,2015,1,1,1.0,False,Недостаточно данных
Tragik,French,1,2008,2008,1,1,1.0,False,Недостаточно данных
Tragik,German,1,2008,2008,1,1,1.0,False,Недостаточно данных
Ultima Ratio,Afghan,1,2014,2014,1,1,1.0,False,Недостаточно данных
Ultima Ratio,British,1,2017,2017,1,1,1.0,False,Недостаточно данных
Ultima Ratio,Burgundian,1,2024,2024,1,1,1.0,False,Недостаточно данных
Ultima Ratio,Confederate,1,2022,2022,1,1,1.0,False,Недостаточно данных
Ultima Ratio,Greek,1,2025,2025,1,1,1.0,False,Недостаточно данных
Ultima Ratio,Libyan,1,2023,2023,1,1,1.0,False,Недостаточно данных
Ultima Ratio,Polish,1,2015,2015,1,1,1.0,False,Недостаточно данных
Ultima Ratio,Thracian,1,2025,2025,1,1,1.0,False,Недостаточно данных
Ultima Ratio,Tunisian,1,2023,2023,1,1,1.0,False,Недостаточно данных
Valdemar,Croatian,1,2009,2009,1,1,1.0,False,Недостаточно данных
Valdemar,Cuman,1,2009,2009,1,1,1.0,False,Недостаточно данных
Valdemar,German,1,2009,2009,1,1,1.0,False,Недостаточно данных
Valdemar,Russian,1,2009,2009,1,1,1.0,False,Недостаточно данных
Valdemar,Ukrainian,1,2009,2009,1,1,1.0,False,Недостаточно данных
Valdemar,Welsh,1,2009,2009,1,1,1.0,False,Недостаточно данных
Valiant,USA,1,2008,2008,1,1,1.0,False,Недостаточно данных
Waterloo 1815,Belgian,1,2002,2002,1,1,1.0,False,Недостаточно данных
Waterloo 1815,Brunswick,1,2009,2009,1,1,1.0,False,Недостаточно данных
Waterloo 1815,Confederate,1,1999,1999,1,1,1.0,False,Недостаточно данных
Waterloo 1815,Egyptian,1,2005,2005,1,1,1.0,False,Недостаточно данных
Waterloo 1815,Nassau,1,2009,2009,1,1,1.0,False,Недостаточно данных
Waterloo 1815,Polish,1,2002,2002,1,1,1.0,False,Недостаточно данных
Ykreol,Bosnian,1,2006,2006,1,1,1.0,False,Недостаточно данных
Ykreol,Portuguese,1,2005,2005,1,1,1.0,False,Недостаточно данных
Ykreol,Spanish,1,2005,2005,1,1,1.0,False,Недостаточно данных
Zvezda,Algerian,1,2007,2007,1,1,1.0,False,Недостаточно данных
Zvezda,Austrian,1,2008,2008,1,1,1.0,False,Недостаточно данных
Zvezda,Carthaginian,1,2006,2006,1,1,1.0,False,Недостаточно данных
Zvezda,Celtic,1,2000,2000,1,1,1.0,False,Недостаточно данных
Zvezda,Danish,1,2007,2007,1,1,1.0,False,Недостаточно данных
Zvezda,Egyptian,1,2007,2007,1,1,1.0,False,Недостаточно данных
Zvezda,Greek,1,2011,2011,1,1,1.0,False,Недостаточно данных
Zvezda,Kazak,1,2009,2009,1,1,1.0,False,Недостаточно данных
Zvezda,Macedonian,1,2002,2002,1,1,1.0,False,Недостаточно данных
Zvezda,Mongolian,1,2011,2011,1,1,1.0,False,Недостаточно данных
Zvezda,Norwegian,1,2007,2007,1,1,1.0,False,Недостаточно данных
Zvezda,Romanian,1,2015,2015,1,1,1.0,False,Недостаточно данных
Zvezda,Saxon,1,2005,2005,1,1,1.0,False,Недостаточно данных
Zvezda,Scythian,1,2009,2009,1,1,1.0,False,Недостаточно данных
Zvezda,Seleucid,1,2003,2003,1,1,1.0,False,Недостаточно данных
Zvezda,Syrian,1,2003,2003,1,1,1.0,False,Недостаточно данных
Zvezda,Ukrainian,1,2009,2009,1,1,1.0,False,Недостаточно данных
Zvezda,Viking,1,2007,2007,1,1,1.0,False,Недостаточно данных
