ID,Header,Nationality_1,Nationality_2,Nationality_3,Nationality_4,Nationality_5,Nationality_6,Nationality_7,Nationality_8,Nationality_9,Nationality_10,Nationality_11
99,Esci Roman Legion (224),Italian,Roman,,,,,,,,,
100,Esci Barbarian Warriors (225),German,,,,,,,,,,
101,Esci Prussian and Austrian Infantry (226),Austrian,German,Prussian,,,,,,,,
102,Esci French Line Infantry (227),French,,,,,,,,,,
103,Esci U.S. Elite Forces (228),USA,,,,,,,,,,
104,Esci North Vietnamese Soldiers and Vietcong (229),Vietnamese,,,,,,,,,,
105,Esci British Light Dragoons (230),British,,,,,,,,,,
106,Esci British Artillery (233),British,,,,,,,,,,
107,Esci French Artillery (234),French,,,,,,,,,,
108,Esci French Cuirassiers (235),French,,,,,,,,,,
109,Esci Modern Russian Paratroopers Spetsnaz (240),Russian,,,,,,,,,,
110,Esci NATO Troops (241),British,French,German,Italian,,,,,,,
111,Esci German Paratroopers 'Green Devils' (244),German,,,,,,,,,,
112,Gulliver South States Cavalry (3601),USA,,,,,,,,,,
113,HaT Picts (6005),British,Pictish,,,,,,,,,
114,HaT Saxons (6006),German,Saxon,,,,,,,,,
115,HaT Franks (6007),Belgian,French,,,,,,,,,
116,HaT Visigoths (6008),French,Spanish,,,,,,,,,
117,HaT WW1 French Infantry (7003),French,,,,,,,,,,
118,HaT Waterloo Prussian Landwehr (7006),German,Prussian,,,,,,,,,
119,HaT Italian Infantry (7007),Italian,,,,,,,,,,
120,HaT Waterloo French Line Infantry (7008),French,,,,,,,,,,
121,HaT Ancient Britons (7011),British,Celtic,,,,,,,,,
122,HaT Bedouins (7013),Arab,,,,,,,,,,
123,HaT Robin Hood (7015),British,English,,,,,,,,,
124,HaT Australian Infantry (7016),Australian,,,,,,,,,,
126,HaT 1805 Napoleonic French Mamelukes (8001),French,,,,,,,,,,
127,HaT Russian Cossacks (8006),Russian,,,,,,,,,,
128,HaT Prussian Artillery (8007),German,Prussian,,,,,,,,,
129,HaT Brunswick Avant Garde (8008),Brunswick,German,,,,,,,,,
130,HaT Russian Artillery (8010),Russian,,,,,,,,,,
131,HaT French Lancers (8011),French,,,,,,,,,,
132,HaT French Horse Grenadiers (8013),French,,,,,,,,,,
133,HaT KGL Light Dragoons (8014),British,,,,,,,,,,
134,HaT Austrian Cuirassiers (8015),Austrian,,,,,,,,,,
135,HaT Russian Cuirassiers (8016),Russian,,,,,,,,,,
136,HaT Republican Romans Princeps & Triari (8017),Italian,Roman,,,,,,,,,
137,HaT Republican Romans Hastati & Velites (8018),Italian,Roman,,,,,,,,,
138,HaT Roman Cavalry (8021),Italian,Roman,,,,,,,,,
139,HaT Brunswick Leib Infantry (8026),Brunswick,German,,,,,,,,,
140,HaT Bavarian Infantry (8028),Bavarian,German,,,,,,,,,
141,HaT Bavarian Cavalry (8030),Bavarian,German,,,,,,,,,
142,HaT Dutch Belgian Light Dragoons (8032),Belgian,Dutch,,,,,,,,,
143,HaT Roman Catapults (8035),Italian,Roman,,,,,,,,,
144,HaT British Light Infantry (8036),British,,,,,,,,,,
145,HaT Austrian Artillery (8037),Austrian,,,,,,,,,,
146,HaT Bavarian Artillery (8038),Bavarian,German,,,,,,,,,
147,HaT Macedonian Phalangites (8043),Greek,Macedonian,,,,,,,,,
148,HaT Alexander's Light Infantry (8044),Greek,Macedonian,,,,,,,,,
149,HaT Greek Mercenary Hoplites (8045),Greek,,,,,,,,,,
150,HaT Alexander's Thracians (8046),Bulgarian,Greek,Thracian,Turkish,,,,,,,
151,HaT Alexander's Macedonian Cavalry (8047),Greek,Macedonian,,,,,,,,,
152,HaT Alexander's Thessalian Cavalry (8048),Greek,,,,,,,,,,
153,HaT Alexander's Allied Cavalry (8049),Greek,,,,,,,,,,
154,HaT Roman Command (8051),Italian,Roman,,,,,,,,,
155,HaT Prussian Reserve Infantry (8052),German,Prussian,,,,,,,,,
156,HaT Prussian Jäger and Volunteer Jäger (8053),German,Prussian,,,,,,,,,
157,HaT Persian Light Infantry (8057),Iranian,Persian,,,,,,,,,
