decade,kit_count,avg_rating
1950,2,31.0
1960,56,31.65714285714286
1970,127,30.266666666666666
1980,94,42.1978021978022
1990,136,41.47826086956522
2000,819,40.81624365482234
2010,854,41.569560047562426
2020,321,42.2010582010582
