ID,Header,Release_Year,Aggregate_Rating,Num_Figures
602,IMEX Southwestern Alamo Accessories (533),,,
603,Esci NATO Pilots and Ground Crew (243),1989,43,48
604,Atlantic Buffalo Bill (1002),1975,20,
605,Nexus Buffalo Bill (ATL12),1975,,
606,IMEX Eastern Friendly Indians (522),2004,45,30
607,Revell German Armoured Infantry (02518),1997,44,45
608,HaT Austrian Chevauxleger (8031),2000,38,12
609,Pegasus German Waffen SS (7201),2004,48,46
610,Airfix Romans (01730),1967,24,28
611,HaT Romans (7010),1967,,28
612,Atlantic The March on Rome - Mussolini and the Black Shirts (9007),1972,31,
615,Revell Prussian Infantry (02580),1996,45,42
616,Italeri Russian Infantry (6057),,,
617,HaT Italian Allies (8040),2001,39,48
618,Italeri French Artillery Set (6031),2001,,11
619,Atlantic Sioux - Sitting Bull (1009),1975,24,
620,Orion Red 1st Cavalry (72011),2004,46,12
621,Airfix Royal Horse Artillery (01731),1968,29,14
622,Revell Austrian Dragoons (02573),1992,45,15
623,Atlantic Military Hospital (114),1975,,
624,HaT French Young Guard (8034),2000,38,48
625,BUM La Legion (5000),2004,44,36
626,Strelets Russian Medieval Horsemen (017),2004,41,12
627,Strelets Russian Mounted Jägers (018),2004,40,12
628,Strelets Anglo-Saxons (016),2004,36,43
629,Strelets Norman Cavalry (012),2004,37,12
630,HaT WW1 Royal Horse Artillery (7005),,,
631,HaT Carthaginian Allies (8058),2001,35,48
632,HaT French Light Infantry (8042),2001,44,48
633,Atlantic Stampede (1013),1977,23,
634,Nexus Stampede (ATL13),,,16
635,Atlantic Hitler - Brown Shirts - SS (9008),1972,26,
637,Zvezda French Dragoons (8024),1998,,17
638,Matchbox German Infantry (40190),1990,,48
639,Matchbox US Infantry (40191),1990,,47
640,Matchbox German Pioneers (40192),1992,,40
641,Matchbox British Paratroopers (40193),1992,,50
642,Revell Conquistadors (02568),1991,41,44
643,Revell Aztecs (02569),1991,46,48
644,HaT British Marines and Sailors (8098),2004,40,80
645,HaT 1806 Prussian Musketeers (8083),2004,41,48
646,HaT 1806 Prussian Fusiliers (8084),2004,42,48
647,Almark British Infantry (WD1),1972,31,12
648,Almark British Infantry Weapons (WD2),1972,29,8
649,Waterloo 1815 X Mas (010),2004,45,44
650,LW Russo-Balt 1914 (52),2004,,
651,Evolution Russo-Balt 1914 (EVC002),2004,,
652,Odemars Oscan Infantry (PF10),2004,36,42
653,Evolution Polish Infantry 1809-14 (EVF001),,,44
654,Evolution Macedonian Cavalry (EVF002),,,11
655,Evolution Napoleonic French Military Band (EVF024),,,44
656,Evolution Napoleonic Polish Infantry (EVF027),,,44
657,Evolution Carthaginian Mercenaries (EVF029),2004,30,16
658,Evolution Bactrian Cavalry (EVF003),2002,,5
659,Evolution Scythian Cavalry (EVF004),2002,,5
660,Evolution Macedonian Artillery (EVF005),,,3
661,Evolution Parthian Cataphracts with M Crassus (EVF006),,,7
662,Evolution Parthian Cataphracts with Roman Prisoners (EVF007),,,7
663,Evolution Gastraphet (EVF008),,,
664,Evolution Ballista (EVF009),,,1
665,Evolution Onager and Crew (EVF010),2002,,5
666,Evolution Vinea (EVF012),2004,19,5
667,Evolution Inquisition (EVF013),2002,,6
668,Evolution Medieval Knights (EVF014),2003,,5
669,Evolution Medieval Mortar and Crew (EVF015),,,3
670,Evolution Pirates (EVF016),,,15
671,Evolution Napoleonic War French Engineers (EVF017),,,16
672,Evolution Wellington's Generals (EVF018),,,20
673,Evolution Russian M30 Howitzer (EVF019),,,
674,Evolution Russian Anti-tank Gun (EVF020),,,3
675,Evolution Russian Artillery Crew (EVF021),,,16
676,Evolution Russian Pilots and Ground Crew (EVF022),,,24
677,Evolution War Elephant (EVF023),,,1
678,Evolution Celtic Warriors (EVF028),,,4
679,Evolution World War I German Cavalry (EVF030),2003,,6
680,Evolution Cavalry of Imperial Rome (EVF034),,,4
681,Hasegawa WWII Pilot Figure Set (35008),1998,33,12
682,Italeri US Paratroopers (6063),,,
683,Armourfast WWII German Mortar Team (99006),2004,46,20
684,Armourfast WWII German Machine Gun Team (99007),2004,45,24
685,Zvezda Samurai Warriors - Cavalry (8025),2004,46,17
686,IMEX Stagecoach (517),2004,45,8
687,Evolution Russian Tank Crew (EVF031),2004,38,14
688,Orion Turkish Janissaries (72010),2004,46,48
689,LW Russian Tank Crew (20),2004,,14
690,Evolution German Horse Wagon (EVF025),2004,,
691,LW German Horse Wagon (15),2004,,
692,IMEX Conestoga Wagon (518),2004,,2
693,Accurate Waterloo British Artillery (7211),1972,,14
694,LW Carthaginian Mercenaries (47),2004,,16
695,Strelets Russian Line Infantry (025),2004,39,44
696,LW Cossack Artillery (2012),2004,,20
697,Strelets British Heavy Dragoons (023),2004,43,12
698,Strelets French Light Infantry (024),2004,40,44
699,Strelets Russian Terek Cossacks (026),2004,42,12
701,LW War Elephant (32),,12,1
702,First To Fight Polish Infantry Support Weapons (PL1939-027),2015,41,15
703,Italeri British Commandos (6064),1983,,50
704,Hasegawa U.S. Infantry Combat Team (31129),1991,39,24
705,Zvezda Republican Roman Infantry (8034),2004,45,40
706,HaT Napoleonic Swedish Infantry (8091),2004,38,100
709,LW Samurai Warriors (2011),2004,34,30
710,Revell WWII German Paratroops (02532),,,
711,Ykreol Chiefs of War (YK23),,,20
712,Lucky Toys Austrian Uhlans (TL0005),2004,32,16
713,Italeri British Light Cavalry (6044),2004,42,17
714,Evolution Cossack Artillery (EVF040),2004,,20
715,Lucky Toys Custer - The Last Hunt (TL0003),2004,23,36
716,"Lucky Toys Cheyennes, People of the Big Grasslands (TL0004)",2004,26,24
717,Italeri NATO Pilots and Ground Crews (1246),1989,,48
718,Lucky Toys Late Empire Romans (TL0002),2004,27,40
719,Italeri Gladiators (6062),2004,41,14
720,Esci Japanese Imperial Guard (8061),,36,17
721,Odemars French Revolution (PF09),2004,42,10
722,Esci Eighth Army (8019),,41,19
723,Caesar SAS (H001),2004,49,42
725,Caesar German Infantry (H002),2004,46,42
726,BUM Pz.KpfW-1a (5002),2004,,3
728,Caesar Japanese Samurai with Ninja (H003),2004,43,39
729,Strelets Saxon Garde du Corps (022),2004,41,12
730,HaT WWI Russian Infantry Heavy Weapons Set (8080),2004,43,80
731,BUM Pilots and Ground Crew (5012),2004,,12
732,Strelets British Highlanders (029),2004,45,42
733,HaT WWI Austrian Infantry Heavy Weapons Set (8081),2004,41,52
734,Strelets Russian Cossack Infantry and Sailors (027),2004,43,46
735,Revell French Hussars (02586),1996,,17
736,Revell French Dragoons (02587),1998,,17
737,BUM Italian CTV (5003),2004,,26
738,Zvezda Russian Cuirassiers (8026),2004,48,16
739,Strelets Russian Hussars (019),2004,43,12
740,BUM T-26 B (5006),2004,,4
741,Esci German Anti-Tank Gun (8020),,,8
742,Preiser Modern US Infantry (72500),,39,16
743,HaT Imperial Roman Auxiliary Cavalry (8066),2005,39,12
744,HaT Imperial Roman Praetorian Cavalry (8067),2005,39,12
745,HaT Late Roman Cataphracts (8086),2005,44,12
746,Waterloo 1815 Dervish Infantry (011),2005,41,36
747,HaT Gothic Cavalry (8085),2005,43,12
748,LW Imperial Rome Legionary Artillery (7),2004,15,7
749,LW Medieval Russian Warriors (13),2004,28,8
750,Evolution Medieval Russian Warriors (EVF033),2004,,8
751,Orion Medieval Siege Engines Part 1 (72015),2004,,
752,Orion Medieval Siege Engines Part 2 (72016),2004,,
753,Evolution Roman Legionary Artillery (EVF032),2004,,7
754,Esci 'Red Devils' British Paratroopers (8034),,37,13
756,Hasegawa German Infantry Attack Group (31130),1991,35,24
757,Preiser German Tank Crew 1939-45 (72515),1998,50,20
758,Revell French Horse Guard Artillery (02588),2000,,11
759,Revell Prussian Cuirassiers (02589),1996,,17
760,Hasegawa US Pilot/Ground Crew Set (35007),1985,46,16
761,Hasegawa Check Point (31131),,,
763,Esci Red Guards (8017),,38,26
764,Strelets Crimean Russian Hussars (034),2005,44,12
765,Strelets Napoleon's General Staff (013),2005,42,36
766,Strelets Scots Greys (030),2005,45,12
767,HaT 1808-1812 French Line Infantry (8095),2005,46,100
768,Armourfast WWII German BMW with Sidecar (99010),2005,44,15
769,HaT Russian Militia (8099),2005,37,100
771,Strelets Russian Naval Artillery (032),2005,45,25
773,Linear-B Roman Port - 2 (075),2014,45,60
776,Armourfast WWII German Zundapp Motorcycle (99011),2005,45,21
777,Preiser Horse Drawn Light Field Howitzer (16513),,50,8
778,A Call To Arms British Infantry 1775 (65),2005,38,32
780,Preiser Modern US Infantry (16529),,,16
781,Strelets Zouaves (033),2005,37,44
782,Preiser Soviet Infantry and Partisans 1942/43 (72522),2003,42,12
783,Preiser Soviet Infantry and Partisans 1942/43 (16530),2003,,12
784,BUM Republican Army (5001),2005,43,36
785,Esci US Soldiers (8016),,39,22
786,"Preiser German Paratroopers, Pilots and Ground Crew (16503)",,,40
787,"Preiser German Paratroopers, Pilots and Ground Crew (72516)",,39,40
788,Preiser Home Leave (16542),2002,,6
789,Preiser Home Leave (72521),2002,42,6
791,Esci Iwo-Jima Marines Landing (8062),1977,39,6
792,Revell WWII German Navy (02525),2005,46,51
793,"Preiser Pilots, Ground Crew and Passengers 1925 (72510)",,42,36
794,Waterloo 1815 Anglo-Egyptian Army (013),2005,41,48
795,Zvezda French Knights (8036),2005,40,19
796,Caesar Ch'in Dynasty Army (H004),2005,44,42
797,Caesar German Infantry with Winter Gear (H005),2005,45,42
798,Caesar WWII Underground Resisters (Partisans) (H006),2005,44,42
801,Preiser WWII German Infantry Advancing (72504),1998,44,12
802,Preiser WWII German Infantry Advancing (16519),,,
803,Odemars Wellington's Staff (PF14),2005,29,42
804,Odemars Portuguese Infantry (CF02),2005,26,42
805,IMEX Pilgrims (521),2005,49,43
806,IMEX Korean War US Army (529),2005,43,51
807,IMEX Chinese People's Liberation Army (531),2005,47,50
808,IMEX Republic of Korea Troops (530),2005,46,50
809,Dark Dream Studio Landsknechts (Pikemen) (72004),2005,35,24
810,IMEX North Korean KPA (532),2005,45,53
811,Italeri Russian Infantry (6073),,,
813,Strelets British Lancers (036),2005,45,12
814,Strelets British Light Dragoons (040),2005,47,12
815,Pegasus California Mission Indians (7051),2005,50,28
816,Strelets Guard of Peter I (031),2005,42,36
817,HaT WWI German Artillery (8109),2005,44,48
818,Italeri French Grenadiers (6072),1984,,50
819,Pegasus Waffen SS - Set 2 (7202),2005,47,43
820,A Call To Arms Netherlands Infantry 1815 (66),2005,32,32
821,HaT Late Roman Heavy Infantry (8087),2005,40,40
822,Pegasus Germans in Berlin 1945 (7228),2005,47,39
823,HaT Renault FT-17 with 37mm Cannon (8113),2005,,
824,HaT Renault FT-17 with Hotchkiss Machine Gun (8114),2005,,
825,Strelets Reitars of Charles XII (035),2005,35,12
826,Strelets Russian Grenadiers (039),2005,37,42
827,HaT WWII Polish Infantry (8115),2005,40,96
828,Odemars Spanish Infantry (CF01),2005,39,42
829,HaT WWI Ottoman Artillery and Machine Guns (8094),2005,44,56
830,Pegasus German Mortar Teams (7204),2005,49,23
831,HaT WWI German Heavy Weapons Set (8110),2005,44,72
832,HaT Imperial Roman Extra Heavy Legionaries (8064),2005,40,48
833,Preiser Resting Infantry and Provost Corps Officers (16501),1997,,12
834,Preiser Resting Infantry (72505),1997,44,12
835,Zvezda French Imperial Old Guard (8030),2005,48,41
836,Italeri Indian Warriors (6061),2005,44,48
837,Italeri American Infantry (6060),2005,33,48
839,Esci Afrika Korps (8018),,36,21
840,Odemars Carpentum (PF08),2005,,1
841,Fujimi British Infantry (76029),,26,10
842,Caesar Assyrian Army (H007),2005,46,42
843,Caesar Egyptian Army (H009),2005,48,42
845,Emhar Saxon Warriors (7206),2005,45,50
846,IMEX Saxons (7215),2005,,50
847,LW Portugal Artillery (2004),2005,37,32
849,Preiser German Soldiers Walking and Standing (16543),,48,39
850,Hasegawa Kubelwagen / BMW Side Car (31112),1991,,3
851,Preiser Rural Groups. Wagons (16327),,48,31
852,Fujimi German Infantry with Gasmasks (76028),,20,10
853,Esci Accessories (8060),,,
854,Esci Nebelwerfer 41 (8033),1983,41,12
855,Orion Roman Siege Troops (72008),2005,39,42
856,LW Swiss Mercenaries (8),2005,37,14
857,Preiser German Motorised Infantry (72503),1998,50,20
858,Preiser German Motorised Infantry (16520),1998,,20
859,Evolution Roman Artillery (EVF041),2004,,7
860,Evolution Russian Medieval Knights (EVF055),2004,,8
861,Caesar Saladin with Saracen Cavalry (H018),2005,45,12
862,Caesar Medieval Knights (Crusaders) (H017),2005,46,12
863,Fujimi Diorama Accessories (76073),,,
864,Preiser German Infantry Dismounting (16528),1999,,12
865,Preiser German Infantry Dismounting (72501),1999,47,12
866,MiniArt Burgundian Mounted Knights (72006),2005,29,20
867,MiniArt French Mounted Knights (72007),2005,31,20
868,Strelets Allied Chiefs of Staff (2) (011),2005,46,35
869,Strelets US Cavalry (1) (041),2005,42,12
870,Strelets Artillery of Peter I (042),2005,44,24
871,Strelets Artillery of Charles XII (043),2005,42,24
872,Strelets Roman Auxiliaries Ranks (M124),2017,,40
873,Strelets French Foreign Legion Artillery (290),2020,38,18
874,Linear-A Imperial Guardsmen of Emperor Justinian I (040),2023,44,48
875,Linear-A The Nika Revolt (041),2025,41,52
876,Emhar Russian Artillery (7208),2005,50,27
877,Emhar American Infantry (7209),2005,44,50
878,Emhar Charge of the Light Brigade (7207),2005,,18
879,Atlantic Seamen (108),1972,29,
880,Strelets Medieval Britain (071),2005,44,124
881,Strelets Lieb-Drabants of Charles XII (044),2005,39,12
882,Zvezda Saxon Cuirassiers (8035),2005,44,16
883,Waterloo 1815 Italian Carabiniers (005),2005,43,14
884,Waterloo 1815 Italian Bersaglieri (015),2005,39,48
885,Fujimi Japanese Infantry (76030),,21,15
886,Italeri Prussian Infantry (6067),2005,31,48
887,Italeri French Infantry (6066),2005,43,48
888,Zvezda Samurai Army Headquarters (8029),2005,47,28
889,Lucky Toys Roman Commander's Cavalry (TL0007),2005,37,7
890,HaT WWII German Motorcycle with Sidecar (8126),2005,,15
891,HaT WWII German Motorcycles (8127),,,
892,Fujimi Flight Deck Crew and Carrier Tractor (35001),1988,43,11
893,Fujimi Flight Deck Crew and Fire Engine (35002),1989,43,13
894,Lucky Toys King Porus' Army (TL0008),2006,44,18
896,Odemars Bosnian Infantry (PF11),2006,39,39
897,Strelets Confederate General Staff (047),2006,44,12
899,Strelets Napoleon's General Staff (2) (048),2006,42,12
900,Italeri Russian Infantry (Winter Uniform) (6069),2005,43,48
901,Strelets British Line Infantry (028),2006,37,44
902,Italeri German Elite Troops (6068),2006,40,48
904,Caesar Biblical Era Libyan Warriors (H022),2006,46,42
905,HaT Assyrian Infantry (8092),2006,42,44
906,Orion Parthian Heavy Cavalry (72021),2006,30,12
907,Strelets Union General Staff (1) (046),2006,39,37
908,MiniArt Italian Knights (72008),2005,38,48
909,Caesar Hittite Warriors (H008),2006,46,42
910,Coates & Shine WWI Serbian Infantry (8122),2006,29,48
911,Coates & Shine WWI German Colonial Infantry (8123),2006,30,48
912,HaT Assyrian Allied Infantry (8121),2006,38,44
913,Mars German Don Cossacks (72113),2018,39,40
914,Hegemony Long Range Desert Group (HG001),2018,33,24
915,Revell German Mechanized Infantrymen (02584),,,
916,Zvezda Republican Roman Cavalry (8038),2006,47,18
917,Caesar Trojan Army (H019),2006,,42
918,Caesar Mycenaean Army (H020),2006,47,42
919,HaT WWII Romanian Infantry (8118),2006,40,96
920,Preiser US Army Air Force Personnel (16521),1999,,12
921,Preiser US Army Air Force Personnel (72502),1999,46,12
922,"Preiser German Kit, 1939-45 (18357)",,,
923,HaT WWI US Infantry (8112),2006,41,80
924,Hasegawa Field Camp Equipment (31132),,,
925,Esci British 25 Pdr Gun (8045),,44,6
926,Italeri German Afrikakorps (6076),,,
927,Italeri British 8th Army (6077),1983,,50
928,Fujimi US Army Infantry (76027),,31,10
930,Preiser Modern US Infantry in Action (16533),2002,,12
931,Preiser Modern US Infantry in Action (72519),2002,46,12
932,Preiser Soviet Infantrymen on a Tank (72525),,49,12
933,Preiser Soviet Infantrymen on a Tank (16545),,,12
934,Preiser Soviet Infantrymen on a Tank (16532),,,12
935,Preiser Soviet Infantrymen on a Tank (72523),2004,45,12
936,Pegasus U.S.M.C. in Vietnam (7401),2006,47,40
937,Pegasus US Rangers D-Day (7351),2006,50,39
938,Preiser Luftwaffe Pilots and Ground Crew (72508),1994,,26
939,Preiser Luftwaffe Pilots and Ground Crew (16502),1994,,26
940,Hegemony Northern Wei (HG002),2018,,24
941,Strelets Pickett's Charge 1 (148),2017,43,45
942,Waterloo 1815 Austrian Infantry 1859 (017),2006,29,40
943,Caesar Assyrian Cavalry (H010),2006,46,12
944,Waterloo 1815 Austrian Artillery 1859 (018),2006,24,16
945,Preiser WWII German Air and Ground Crew (72509),,44,30
949,Caesar Assyrian Chariot (H011),2006,43,8
950,Fujimi German Infantry (76025),,25,10
951,Strelets Boers (056),2006,44,44
952,Preiser Modern German/NATO Pilots and Ground Crew (72520),,42,36
953,Strelets British Lancers (055),2006,40,12
955,Strelets Australian Lancers (054),2006,41,12
956,Strelets Bengal Lancers (057),2006,43,12
957,Strelets Mounted Boers (037),2006,35,12
958,Italeri American Special Forces (6078),1986,,50
959,Italeri Vietnamese Army / Vietcong (6079),1986,,50
961,Strelets British Infantry (038),2006,38,44
962,Fujimi Bridge and Checkpoint (36039),,,3
963,Fujimi Field Accessories (36038),,21,6
965,Zvezda French Foot Artillery (8028),2006,46,25
967,Preiser German Tank Crew (16500),1998,,20
968,Preiser German Tank Crew (72507),1996,46,20
969,Odemars Iberian Infantry (PF13),,18,32
971,Pobeda BTR 152V-K and Soviet Army Figures (72001),,,
972,Pobeda BTR 152 S Command and Soviet Army Figures (72002),,,
973,Pobeda ZIL-157 Truck and Soviet Army Figures (72003),,,
974,Pobeda BM-24-12 Rocket and Soviet Army Figures (72004),,,
975,Pobeda ZIL-157 Fuel Truck and Soviet Army Figures (72005),,,
976,Pobeda BM 13-16 Katyuska and Soviet Army Figures (72006),,,
977,Pobeda BM-13-16 ZIL-131 Soviet-Egyptian Army (72008),,,
978,Pobeda Ural 375D Truck Egyptian-Soviet Army (72009),,,
979,Pobeda Ural 375 A Command Egyptian-Soviet Army (72010),,,
980,Fujimi Kubel Wagen (76054),,,9
981,Orion Medieval Siege Troops (72019),2006,39,50
982,HaT French Limber (8105),2006,44,9
983,Coates & Shine Indian Cavalry (8131),2006,41,12
984,HaT WWII German Mounted Infantry (8120),2006,35,12
985,HaT WWII German Bicyclists (8119),2006,36,12
986,Pobeda Russo-Balt Armoured Car (72020),,,
987,Pobeda BMP-1 and Soviet Army Figures (72030),,,
988,Pobeda SU-76 Soviet Tank WW2 (72040),,,
989,Pobeda Volkswagen Lazaret (72041),,,
990,Pobeda German Pak40 and Panther Tanks (72042),,,
991,Pobeda RBT-5 Rocket Launcher (72043),,,
992,Pobeda ZSU-37 Antiaircraft Tank (72044),,,
993,Pobeda Soviet ZIS-3 Gun with Crew (72045),,,
994,Pobeda T-26 Twin Turret with Crew (72046),,,
995,Pobeda SPG BT-42 Finnish 1944 Vyborg Battle (72047),,,
996,Pobeda XT-26 Russian Flamethrower (72048),,,
997,Pobeda Die in Stalingrad (72101),,,
998,Pobeda 1812 Brezina Cross (72100),,,
999,Pobeda Crimean Death Artillery (72102),,,
1000,Pobeda Sudan Death Dervishes (72103),,,
1001,Pobeda Ancient Destroyed Catapult (72104),,,
1002,Pobeda Cossack Artillery (72105),,,
1003,Pobeda Siege of Sagunto (72106),,,
1004,Pobeda Russian Pilots (72107),,,
1005,Metch Ukrainian Medieval Army (172001),,,
1006,Metch Sapeurs and French Camp (172002),,,
1007,Metch Samurai Warlords (172003),,,
1008,Metch Roman Siege Troops (172004),,,
1009,Metch Roman Vinea (172005),,,
1010,Metch Roman Ballista (172006),,,
1011,Hegemony WW2 Civilians (HG003),2018,30,24
1012,Metch Swiss Army (172008),,,
1013,Metch TODT Operation (172101),,,
1014,Linear-A The Etruscans Cavalry: Set 2 (022),2020,43,12
1015,Metch Volkssturm Posen 1945 (172102),,,
1016,Metch Kettenkrad (172103),,,
1017,Metch Repair Truck (172104),,,
1018,Metch SD KFZ 138/1 Grille (172106),,,
1019,Metch SS Handchar Division (172108),,,
1020,HaT Assyrian Cavalry (8125),2006,44,12
1021,HaT French Ammunition Caisson (8101),2006,,6
1022,Orion German Paratroopers (72018),2006,42,24
1023,Zvezda Russian Strelets Infantry (8040),2006,46,46
1024,Strelets German Dragoons (045),2006,40,12
1025,Strelets Russian Dragoons (058),2006,43,12
1026,Strelets Don Cossacks (059),2006,43,12
1027,Strelets German Hussars (060),2006,41,12
1028,Strelets German Uhlans (072),2006,44,12
1029,Strelets Kuban\Terek Cossacks (073),2006,43,12
1030,RedBox Picts (72001),2006,34,48
1031,IMEX The Charge of the Light Brigade (7216),2005,,18
1032,IMEX Russian Artillery (7217),2005,,27
1033,IMEX American WWI Infantry (7218),2005,,50
1034,LW Roman Assault Troops (9),2006,20,18
1035,Evolution Roman Assault Troops Testudo (EVF035),2006,,18
1036,MiniArt Swiss Infantry (72009),2006,41,48
1037,IMEX American Artillery (554),2006,45,24
1038,IMEX British Artillery (555),2006,39,24
1039,Evolution Dacian Cavalry (EVF036),2006,22,5
1040,Zvezda Carthaginian Infantry (8010),2006,47,42
1041,Evolution Sarmat Cavalry (EVF037),2006,30,5
1042,IMEX Mexican Round Hat Infantry (553),2006,48,49
1043,Caesar Modern US Army (H030),2006,44,42
1044,Caesar Modern Urban Resisters (H031),2006,45,42
1045,BUM Militian Army (5004),2006,39,36
1046,Caesar Arab Camel Riders and Bedouin (H023),2006,46,37
1047,Evolution Bosporan Cavalry (EVF038),2006,33,5
1048,Caesar Hittite Chariots (H012),2006,45,10
1049,Caesar Mitannian Mariyannu Chariot (H015),2006,48,10
1050,Atlantic Navy (109),1973,22,
1051,RedBox Vinea and Ram (72002),2006,,
1052,Preiser German Panzergrenadiers Advancing (16557),,,12
1053,Preiser German Panzergrenadiers Advancing (72527),,44,12
1054,Strelets Auxiliaries on the March (M125),2017,,40
1055,RedBox Colonial British Army 1890 (72003),2006,32,48
1056,RedBox Afghan Warriors (72004),2006,35,48
1058,Preiser German Paratroopers (16508),,45,30
1059,Revell German Africa Corps (02505(2)),1983,,50
1060,Revell British 8th Army (02507(2)),1983,,50
1061,Italeri British 95th Regiment (6083),2006,46,48
1062,Italeri Mamelukes (6082),2006,48,17
1065,Preiser Soviet Guards Infantry 1942 (16505),,47,18
1066,Preiser German Armoured Infantry (16504),,47,16
1067,Evolution Scorpion and Crew (EVF011),,,6
1068,Strelets British Hussars (050),2006,43,12
1069,MiniArt German Knights (72011),2006,40,36
1070,Strelets German Cuirassiers (077),2006,43,12
1071,Strelets Scottish Army of Robert Bruce (081),2006,39,24
1073,RedBox Japanese Warrior Monks (72005),2006,40,48
1074,Strelets Union General Staff (2) (080),2006,45,12
1075,RedBox Ashigaru (Archers and Arquebusiers) (72006),2006,40,52
1076,Strelets Russian Hussars (076),2006,44,12
1077,Strelets Russian Army of Alexander Nevsky (082),2006,42,24
1078,HaT Spanish Guerillas (8116),2006,43,96
1081,HaT French Heavy Ambulance (8104),2006,,3
1082,Italeri French Cuirassiers (6084),1987,,12
1083,Zvezda Medieval Field Powder Artillery (8027),2006,48,10
1084,Zvezda Swedish Infantry (8048),2006,39,43
1085,HaT French Baggage Wagon (8106),2006,,3
1086,HaT Assyrian Chariots (8124),2006,44,12
1087,Metch Macedonian Artillery (172009),,,
1088,Metch WWI Kaiser Army Tannenberg (172109),,,
1089,Pobeda Warsaw Resistance (72110),,,
1090,Strelets British Infantry on the March (141),2016,47,44
1091,BUM FT-17 Tank Cannon (5034),,,
1092,BUM FT-17 Tank Machinegun (5036),,,
1093,Preiser US Tank Crew 2000 (72524),,49,16
1094,Italeri Prussian Light Cavalry (6081),2006,32,17
1095,Caesar Inca Warriors (H026),2006,48,42
1096,Caesar Hebrew Warriors (H014),2006,,42
1097,Odemars French Grenadiers (CF03),2006,38,42
1098,Caesar Ancient Egyptian Warriors (H047),2006,49,42
1099,Evolution Roxolan Cavalry (EVF039),2006,36,5
1100,Caesar Egyptian Sherden the Royal Guards (H050),2006,49,43
1101,Italeri French Light Cavalry (6080),2006,38,17
1102,Caesar The Sea Peoples (H048),2006,49,43
1103,Strelets Normans (M001),2006,47,48
1104,Orion Ukrainian Foot Cossacks and Artillery (72013),2006,45,34
1105,RedBox Ashigaru (Spearmen) (72007),2006,34,48
1106,Caesar Maya Warriors (H027),2006,43,42
1107,Strelets Norman Archers (M002),2006,47,48
1108,Orion Assyrian Rams (72022),2007,,
1109,Odemars The Nativity (CREA02),2006,47,11
1110,Strelets Anglo-Saxons (M003),2006,45,48
1111,Zvezda French Elite Infantry. Voltigeurs (8042),2006,45,40
1112,Mars Pirates of the Caribbean (72009),2006,34,48
1113,Strelets Vikings (M004),2006,45,48
1114,Caesar Philistine Warriors (H046),2006,47,42
1115,Zvezda Medieval Heavy Bombard (8032),2006,45,7
1116,Strelets Don Cossacks (052),2006,42,12
1117,Emhar French Infantry 1854-1871 (7211),2007,47,50
1119,Strelets Russian General Staff and Hospital (051),2006,42,115
1120,Emhar Zouaves (7212),2007,40,50
1122,Waterloo 1815 Italian Infantry (019),2007,34,48
1124,Strelets Don Cossacks in Summer Dress (083),2006,43,12
1127,Revell Vietcong (02526),1986,,50
1130,HaT WWI Canadian Infantry (8111),2007,39,84
1131,Italeri Walls and Ruins (6087),2007,,
1132,IMEX German Troops (528),2007,42,50
1133,HaT Parthian Heavy Cavalry (8145),2007,43,18
1134,HaT Parthian Light Cavalry (8144),2007,46,18
1135,HaT 1806 Prussian Elites (8136),2007,44,48
1136,HaT 1806 Prussian Grenadiers (8135),2007,41,48
1138,Pegasus German Army Infantry 1939 (7499),2007,48,42
1139,IMEX Easy Company American (527),2007,45,43
1140,Valiant Classic German Infantry 1944/45 (VM002),2007,43,68
1141,Valiant British Tommies 1944/45 (VM001),2007,42,68
1143,HaT Württemberg Infantry (8093),2007,45,100
1144,Italeri Iwo Jima Flag Raisers (6098),1977,,6
1145,Revell American Special Forces (02527),1986,,50
1146,Zvezda Carthaginian Numidian Cavalry (8031),2007,44,17
1147,Strelets Russian Crimean Uhlans (061),2007,41,12
1148,Strelets Russian Crimean Dragoons (063),2007,41,12
1149,Strelets Roman Legion on the March (M007),2007,44,48
1150,Strelets Roman Legion in Battle (M009),2007,42,48
1151,Zvezda Russian Infantry of Peter the Great (8049),2007,45,43
1152,Strelets Medieval Levy (1) (M005),2007,40,48
1153,Caesar The Conquistadores (H025),2007,45,35
1155,Strelets Roman Auxiliaries in Battle (M008),2007,42,48
1156,Odemars Jesus' Home (with Jesus) (CREA03),2007,,1
1157,Zvezda The Janissaries (8050),2007,47,43
1158,MiniArt Roman Infantry (72012),2007,37,48
1159,GerMan Musketeers of the French King (0001),2007,45,22
1160,Co.Ma. Bersaglieri (409),,,
1161,Dapol Railway Workmen (C002),,47,39
1162,Dapol Platform Figures (C008),,43,36
1163,Coates & Shine Macedonian Elephant (8141),2007,47,4
1164,HaT Nassau Infantry (8147),2007,47,96
1165,HaT Late Roman Missile Troops (8137),2007,38,36
1166,Zvezda English Knights of the 100 Years War (8044),2007,48,33
1167,HaT 1805 French Line Infantry in Greatcoats (8146),2007,45,96
1168,Zvezda Roman Imperial Legionaries (8043),2007,44,53
1169,Strelets Russian Grenadiers in Winter Dress (M011),2007,39,48
1170,GerMan Cuban War Spanish Infantry (0003),2007,46,24
1171,HaT Gallic Warband (8089),2007,39,48
1173,Italeri French Infantry 1798-1805 (6092),2007,43,48
1174,Strelets French Cuirassiers in Winter Dress (089),2007,47,12
1175,Odemars Defenders of Berlin (PF07),,,42
