manufacturer,nationality,Recency,Frequency,Magnitude
Lucky Toys,Indian,20,1,44.0
MiniArt,Swiss,20,1,41.0
Odemars,Bosnian,20,1,39.0
Odemars,Israeli,20,1,47.0
Orion,Parthian,20,1,30.0
Orion,Persian,20,1,30.0
Orion,Scottish,20,1,39.0
RedBox,Afghan,20,1,35.0
RedBox,Pictish,20,1,34.0
Strelets,Cossack,20,1,43.0
Zvezda,Carthaginian,20,1,47.0
Italeri,French,19,15,42.6
Zvezda,Italian,19,4,46.0
Italeri,Austrian,19,3,38.666666666666664
MiniArt,Italian,19,3,36.333333333333336
HaT,Nassau,19,2,42.5
HaT,Parthian,19,2,44.5
MiniArt,German,19,2,41.0
Odemars,German,19,2,42.0
Zvezda,Tunisian,19,2,45.5
Caesar,Nubian,19,1,44.0
Caesar,Sudanese,19,1,44.0
Coates & Shine,German,19,1,35.0
Coates & Shine,Goth,19,1,35.0
Coates & Shine,Greek,19,1,43.0
Coates & Shine,Macedonian,19,1,47.0
Coates & Shine,Polish,19,1,35.0
IMEX,German,19,1,42.0
LW,Dacian,19,1,36.0
LW,Romanian,19,1,36.0
MiniArt,Czech,19,1,35.0
MiniArt,Hussite,19,1,35.0
Strelets,Breton,19,1,40.0
Zvezda,Algerian,19,1,44.0
Zvezda,Danish,19,1,46.0
Zvezda,Egyptian,19,1,42.0
Zvezda,Norwegian,19,1,46.0
Zvezda,Viking,19,1,46.0
IMEX,USA,18,18,43.166666666666664
BUM,Spanish,18,7,41.42857142857143
HaT,Celtic,18,6,41.0
Coates & Shine,Indian,18,4,42.5
Lucky Toys,Italian,18,4,34.25
Emhar,German,18,3,42.0
LW,Russian,18,3,25.333333333333332
Odemars,French,18,3,36.666666666666664
RedBox,Korean,18,3,36.666666666666664
RedBox,North Korean,18,3,36.666666666666664
RedBox,South Korean,18,3,36.666666666666664
Caesar,Belgian,18,2,44.5
Caesar,Czech,18,2,44.5
Caesar,Dutch,18,2,44.5
Caesar,Polish,18,2,44.5
Caesar,Yugoslavian,18,2,44.5
Emhar,Danish,18,2,47.5
Emhar,Norwegian,18,2,47.5
Emhar,Swedish,18,2,47.5
Emhar,Viking,18,2,47.5
HaT,Egyptian,18,2,36.5
Italeri,Arab,18,2,39.0
Italeri,Egyptian,18,2,39.0
Italeri,Iraqi,18,2,39.0
Italeri,Mongolian,18,2,44.5
Italeri,Syrian,18,2,39.0
LW,Spanish,18,2,32.5
Odemars,British,18,2,32.5
Orion,Scythian,18,2,42.5
Zvezda,British,18,2,47.0
Zvezda,Turkish,18,2,46.0
Caesar,Bosnian,18,1,45.0
Caesar,Croatian,18,1,45.0
Caesar,Norwegian,18,1,45.0
Caesar,Serbian,18,1,45.0
Eduard,British,18,1,45.0
GerMan,Austrian,18,1,36.0
HaT,Gaul,18,1,47.0
Italeri,Turkish,18,1,35.0
LW,Israeli,18,1,27.0
Mars,Persian,18,1,28.0
