nationality,era,kit_count_recent,kit_count_prev,absolute_change,growth_rate_pct
Italian,Древний мир,39,17,22,129.41176470588235
USA,Новейшее время,13,6,7,116.66666666666667
Italian,Новейшее время,10,5,5,100.0
German,Новое время,19,10,9,90.0
Persian,Древний мир,5,3,2,66.66666666666666
British,Новое время,29,20,9,45.0
Austrian,Новое время,10,9,1,11.11111111111111
British,Новейшее время,11,10,1,10.0
French,Новое время,28,26,2,7.6923076923076925
