era,nationality,kit_count
Средневековье,Guatamalan,1
Средневековье,Hungarian,1
Средневековье,Incan,1
Средневековье,Khazar,1
Средневековье,Latvian,1
Средневековье,Livonian,1
Средневековье,Mayan,1
Средневековье,Pecheneg,1
Средневековье,Peruvian,1
Средневековье,Slav,1
Средневековье,Tatar,1
Средневековье,Tunisian,1
Средневековье,Wallacian,1
Средневековье,Welsh,1
Средневековье,Afghan,0
Средневековье,Anatolian,0
Средневековье,Aramaic,0
Средневековье,Armenian,0
Средневековье,Assyrian,0
Средневековье,Australian,0
Средневековье,Austrian,0
Средневековье,Bavarian,0
Средневековье,Belgian,0
Средневековье,Boer,0
Средневековье,Brunswick,0
Средневековье,Burundi,0
Средневековье,Cameroonian,0
Средневековье,Canadian,0
Средневековье,Carthaginian,0
Средневековье,CeltIberian,0
Средневековье,Celtic,0
Средневековье,Confederate,0
Средневековье,Crimean,0
Средневековье,Dacian,0
Средневековье,East German,0
Средневековье,Emirati,0
Средневековье,Epirote,0
Средневековье,Estonian,0
Средневековье,Etruscan,0
Средневековье,Finnish,0
Средневековье,Gaul,0
Средневековье,Goth,0
Средневековье,Harappan,0
Средневековье,Hessian,0
Средневековье,Hittite,0
Средневековье,Indian,0
Средневековье,Israeli,0
Средневековье,Kazak,0
Средневековье,Kazakhstani,0
Средневековье,Kenyan,0
Средневековье,Kyrgyzstani,0
Средневековье,Libyan,0
Средневековье,Macedonian,0
Средневековье,Minoan,0
Средневековье,Mitannian,0
Средневековье,Mycenaean,0
Средневековье,Nassau,0
Средневековье,Nepalese,0
Средневековье,New Zealand,0
Средневековье,Nubian,0
Средневековье,Numidian,0
Средневековье,Omani,0
Средневековье,Pakistani,0
Средневековье,Palestinian,0
Средневековье,Parthian,0
Средневековье,Persian,0
Средневековье,Phrygian,0
Средневековье,Pontic,0
Средневековье,Portuguese,0
Средневековье,Rifian,0
Средневековье,Rwandan,0
Средневековье,Sarmatian,0
Средневековье,Sassanian,0
Средневековье,Scythian,0
Средневековье,Sea People,0
Средневековье,Seleucid,0
Средневековье,Somalian,0
Средневековье,South African,0
Средневековье,South Vietnamese,0
Средневековье,Sudanese,0
Средневековье,Sumerian,0
Средневековье,Tajik,0
Средневековье,Tajikistani,0
Средневековье,Tanzanian,0
Средневековье,Texian,0
Средневековье,Thracian,0
Средневековье,Trojan,0
Средневековье,Turkmenistani,0
Средневековье,Urartu,0
Средневековье,Uzbek,0
Средневековье,Vietnamese,0
Средневековье,W&uuml;rttemberg,0
Средневековье,Yugoslavian,0
Средневековье,Zulu,0
Новое время,French,194
Новое время,British,169
Новое время,USA,144
Новое время,German,96
Новое время,Russian,88
Новое время,Austrian,54
Новое время,Spanish,26
Новое время,Confederate,22
Новое время,Polish,22
Новое время,Swedish,22
Новое время,Turkish,18
Новое время,South African,15
Новое время,Bavarian,11
Новое время,Dutch,11
Новое время,Ukrainian,10
Новое время,Italian,9
Новое время,Indian,8
Новое время,Boer,6
Новое время,Sudanese,6
Новое время,Zulu,6
Новое время,Brunswick,5
Новое время,Mexican,5
Новое время,Scottish,5
Новое время,Belgian,4
Новое время,Hungarian,4
Новое время,Portuguese,4
Новое время,Saxon,4
Новое время,Chinese,3
Новое время,Egyptian,3
Новое время,Hessian,3
Новое время,Nassau,3
Новое время,Tatar,3
Новое время,W&uuml;rttemberg,3
Новое время,Afghan,2
Новое время,Cossack,2
Новое время,Japanese,2
Новое время,Nepalese,2
Новое время,Texian,2
Новое время,Arab,1
Новое время,Australian,1
Новое время,Canadian,1
Новое время,Crimean,1
Новое время,Kenyan,1
Новое время,Lithuanian,1
Новое время,Romanian,1
Новое время,Tanzanian,1
Новое время,Wallacian,1
Новое время,Albanian,0
Новое время,Algerian,0
Новое время,Almoravid,0
Новое время,Anatolian,0
Новое время,Andalusian,0
Новое время,Anglo-Saxon,0
Новое время,Aramaic,0
Новое время,Armenian,0
Новое время,Assyrian,0
Новое время,Aztec,0
Новое время,Belize,0
Новое время,Bohemian,0
Новое время,Bosnian,0
Новое время,Breton,0
Новое время,Bulgarian,0
Новое время,Burgundian,0
Новое время,Burundi,0
Новое время,Cameroonian,0
Новое время,Carthaginian,0
Новое время,CeltIberian,0
Новое время,Celtic,0
Новое время,Croatian,0
Новое время,Cuman,0
Новое время,Czech,0
Новое время,Dacian,0
Новое время,Danish,0
Новое время,East German,0
Новое время,Emirati,0
Новое время,Epirote,0
Новое время,Estonian,0
Новое время,Etruscan,0
Новое время,Finnish,0
Новое время,Frankish,0
Новое время,Gaul,0
Новое время,Georgian,0
Новое время,Goth,0
Новое время,Greek,0
Новое время,Guatamalan,0
Новое время,Harappan,0
Новое время,Hittite,0
Новое время,Hun,0
Новое время,Hussite,0
Новое время,Incan,0
Новое время,Iraqi,0
Новое время,Irish,0
Новое время,Israeli,0
Новое время,Kazak,0
Новое время,Kazakhstani,0
Новое время,Khazar,0
Новое время,Korean,0
Новое время,Kyrgyzstani,0
Новое время,Latvian,0
Новое время,Libyan,0
Новое время,Livonian,0
Новое время,Macedonian,0
Новое время,Mayan,0
Новое время,Minoan,0
Новое время,Mitannian,0
Новое время,Mongolian,0
Новое время,Moroccan,0
Новое время,Mycenaean,0
Новое время,New Zealand,0
Новое время,Norman,0
Новое время,North Korean,0
Новое время,Norwegian,0
Новое время,Nubian,0
Новое время,Numidian,0
Новое время,Omani,0
Новое время,Pakistani,0
Новое время,Palestinian,0
Новое время,Parthian,0
Новое время,Pecheneg,0
Новое время,Persian,0
Новое время,Peruvian,0
Новое время,Phrygian,0
Новое время,Pictish,0
Новое время,Pontic,0
Новое время,Rifian,0
Новое время,Rwandan,0
Новое время,Sarmatian,0
Новое время,Sassanian,0
Новое время,Scythian,0
Новое время,Sea People,0
Новое время,Seleucid,0
Новое время,Serbian,0
Новое время,Slav,0
Новое время,Somalian,0
Новое время,South Korean,0
Новое время,South Vietnamese,0
Новое время,Sumerian,0
Новое время,Swiss,0
Новое время,Syrian,0
Новое время,Tajik,0
Новое время,Tajikistani,0
Новое время,Teutonic,0
Новое время,Thracian,0
Новое время,Trojan,0
Новое время,Tunisian,0
Новое время,Turkmenistani,0
Новое время,Urartu,0
Новое время,Uzbek,0
Новое время,Vietnamese,0
Новое время,Viking,0
Новое время,Welsh,0
Новое время,Yugoslavian,0
Новейшее время,German,291
Новейшее время,Russian,120
Новейшее время,British,104
Новейшее время,USA,75
Новейшее время,Italian,44
Новейшее время,French,41
Новейшее время,Japanese,37
Новейшее время,Polish,24
Новейшее время,Australian,15
Новейшее время,Spanish,12
Новейшее время,Austrian,8
Новейшее время,Finnish,8
Новейшее время,Arab,7
Новейшее время,Belgian,6
Новейшее время,New Zealand,6
Новейшее время,Hungarian,5
Новейшее время,Turkish,5
Новейшее время,Indian,4
Новейшее время,Romanian,4
Новейшее время,Serbian,4
Новейшее время,Bosnian,3
Новейшее время,Canadian,3
Новейшее время,Chinese,3
Новейшее время,Czech,3
Новейшее время,Dutch,3
Новейшее время,Moroccan,3
Новейшее время,Tanzanian,3
Новейшее время,Burundi,2
Новейшее время,Nepalese,2
Новейшее время,Rifian,2
Новейшее время,Rwandan,2
Новейшее время,South African,2
Новейшее время,Ukrainian,2
Новейшее время,Yugoslavian,2
Новейшее время,Afghan,1
Новейшее время,Cameroonian,1
Новейшее время,Cossack,1
Новейшее время,Croatian,1
Новейшее время,Estonian,1
Новейшее время,Iraqi,1
Новейшее время,Kazakhstani,1
Новейшее время,Kyrgyzstani,1
Новейшее время,Latvian,1
Новейшее время,Lithuanian,1
Новейшее время,Norwegian,1
Новейшее время,Pakistani,1
Новейшее время,Syrian,1
Новейшее время,Tajikistani,1
Новейшее время,Turkmenistani,1
Новейшее время,Uzbek,1
Новейшее время,Albanian,0
Новейшее время,Algerian,0
Новейшее время,Almoravid,0
Новейшее время,Anatolian,0
Новейшее время,Andalusian,0
Новейшее время,Anglo-Saxon,0
Новейшее время,Aramaic,0
Новейшее время,Armenian,0
Новейшее время,Assyrian,0
Новейшее время,Aztec,0
Новейшее время,Bavarian,0
Новейшее время,Belize,0
Новейшее время,Boer,0
Новейшее время,Bohemian,0
Новейшее время,Breton,0
Новейшее время,Brunswick,0
Новейшее время,Bulgarian,0
Новейшее время,Burgundian,0
Новейшее время,Carthaginian,0
Новейшее время,CeltIberian,0
Новейшее время,Celtic,0
Новейшее время,Confederate,0
Новейшее время,Crimean,0
Новейшее время,Cuman,0
Новейшее время,Dacian,0
Новейшее время,Danish,0
Новейшее время,East German,0
Новейшее время,Egyptian,0
Новейшее время,Emirati,0
Новейшее время,Epirote,0
Новейшее время,Etruscan,0
Новейшее время,Frankish,0
Новейшее время,Gaul,0
Новейшее время,Georgian,0
Новейшее время,Goth,0
Новейшее время,Greek,0
Новейшее время,Guatamalan,0
Новейшее время,Harappan,0
Новейшее время,Hessian,0
Новейшее время,Hittite,0
Новейшее время,Hun,0
Новейшее время,Hussite,0
Новейшее время,Incan,0
Новейшее время,Irish,0
Новейшее время,Israeli,0
Новейшее время,Kazak,0
Новейшее время,Kenyan,0
Новейшее время,Khazar,0
Новейшее время,Korean,0
Новейшее время,Libyan,0
Новейшее время,Livonian,0
Новейшее время,Macedonian,0
Новейшее время,Mayan,0
Новейшее время,Mexican,0
Новейшее время,Minoan,0
Новейшее время,Mitannian,0
Новейшее время,Mongolian,0
Новейшее время,Mycenaean,0
Новейшее время,Nassau,0
Новейшее время,Norman,0
Новейшее время,North Korean,0
Новейшее время,Nubian,0
Новейшее время,Numidian,0
Новейшее время,Omani,0
Новейшее время,Palestinian,0
Новейшее время,Parthian,0
Новейшее время,Pecheneg,0
Новейшее время,Persian,0
Новейшее время,Peruvian,0
Новейшее время,Phrygian,0
Новейшее время,Pictish,0
Новейшее время,Pontic,0
Новейшее время,Portuguese,0
Новейшее время,Sarmatian,0
Новейшее время,Sassanian,0
Новейшее время,Saxon,0
Новейшее время,Scottish,0
Новейшее время,Scythian,0
Новейшее время,Sea People,0
Новейшее время,Seleucid,0
Новейшее время,Slav,0
Новейшее время,Somalian,0
Новейшее время,South Korean,0
Новейшее время,South Vietnamese,0
Новейшее время,Sudanese,0
Новейшее время,Sumerian,0
Новейшее время,Swedish,0
Новейшее время,Swiss,0
Новейшее время,Tajik,0
Новейшее время,Tatar,0
Новейшее время,Teutonic,0
Новейшее время,Texian,0
Новейшее время,Thracian,0
Новейшее время,Trojan,0
Новейшее время,Tunisian,0
Новейшее время,Urartu,0
Новейшее время,Vietnamese,0
Новейшее время,Viking,0
Новейшее время,W&uuml;rttemberg,0
Новейшее время,Wallacian,0
Новейшее время,Welsh,0
Новейшее время,Zulu,0
Современность,USA,40
Современность,Italian,26
Современность,German,20
Современность,British,17
Современность,Russian,13
Современность,Vietnamese,9
Современность,Israeli,6
Современность,Chinese,4
Современность,French,4
Современность,East German,3
Современность,South Vietnamese,3
Современность,Afghan,2
Современность,Belgian,2
Современность,Czech,2
Современность,Iraqi,2
Современность,Syrian,2
Современность,Ukrainian,2
Современность,Dutch,1
Современность,Hungarian,1
Современность,Moroccan,1
Современность,North Korean,1
Современность,Pakistani,1
Современность,Polish,1
Современность,Somalian,1
Современность,South Korean,1
Современность,Spanish,1
Современность,Swiss,1
Современность,Albanian,0
Современность,Algerian,0
Современность,Almoravid,0
Современность,Anatolian,0
Современность,Andalusian,0
Современность,Anglo-Saxon,0
Современность,Arab,0
Современность,Aramaic,0
Современность,Armenian,0
Современность,Assyrian,0
Современность,Australian,0
Современность,Austrian,0
Современность,Aztec,0
Современность,Bavarian,0
Современность,Belize,0
Современность,Boer,0
Современность,Bohemian,0
Современность,Bosnian,0
Современность,Breton,0
Современность,Brunswick,0
Современность,Bulgarian,0
Современность,Burgundian,0
Современность,Burundi,0
Современность,Cameroonian,0
Современность,Canadian,0
Современность,Carthaginian,0
Современность,CeltIberian,0
Современность,Celtic,0
Современность,Confederate,0
Современность,Cossack,0
Современность,Crimean,0
Современность,Croatian,0
Современность,Cuman,0
Современность,Dacian,0
Современность,Danish,0
Современность,Egyptian,0
Современность,Emirati,0
Современность,Epirote,0
Современность,Estonian,0
Современность,Etruscan,0
Современность,Finnish,0
Современность,Frankish,0
Современность,Gaul,0
Современность,Georgian,0
Современность,Goth,0
Современность,Greek,0
Современность,Guatamalan,0
Современность,Harappan,0
Современность,Hessian,0
Современность,Hittite,0
Современность,Hun,0
Современность,Hussite,0
Современность,Incan,0
Современность,Indian,0
Современность,Irish,0
Современность,Japanese,0
Современность,Kazak,0
Современность,Kazakhstani,0
Современность,Kenyan,0
Современность,Khazar,0
Современность,Korean,0
Современность,Kyrgyzstani,0
Современность,Latvian,0
Современность,Libyan,0
Современность,Lithuanian,0
Современность,Livonian,0
Современность,Macedonian,0
Современность,Mayan,0
Современность,Mexican,0
Современность,Minoan,0
Современность,Mitannian,0
Современность,Mongolian,0
Современность,Mycenaean,0
Современность,Nassau,0
Современность,Nepalese,0
Современность,New Zealand,0
Современность,Norman,0
Современность,Norwegian,0
Современность,Nubian,0
Современность,Numidian,0
Современность,Omani,0
Современность,Palestinian,0
Современность,Parthian,0
Современность,Pecheneg,0
Современность,Persian,0
Современность,Peruvian,0
Современность,Phrygian,0
Современность,Pictish,0
Современность,Pontic,0
Современность,Portuguese,0
Современность,Rifian,0
Современность,Romanian,0
Современность,Rwandan,0
Современность,Sarmatian,0
Современность,Sassanian,0
Современность,Saxon,0
Современность,Scottish,0
Современность,Scythian,0
Современность,Sea People,0
Современность,Seleucid,0
Современность,Serbian,0
Современность,Slav,0
Современность,South African,0
Современность,Sudanese,0
Современность,Sumerian,0
Современность,Swedish,0
Современность,Tajik,0
Современность,Tajikistani,0
Современность,Tanzanian,0
Современность,Tatar,0
Современность,Teutonic,0
Современность,Texian,0
Современность,Thracian,0
Современность,Trojan,0
Современность,Tunisian,0
Современность,Turkish,0
Современность,Turkmenistani,0
Современность,Urartu,0
Современность,Uzbek,0
Современность,Viking,0
Современность,W&uuml;rttemberg,0
Современность,Wallacian,0
Современность,Welsh,0
Современность,Yugoslavian,0
Современность,Zulu,0
